,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
42,SeqPrep,100000000,120,0,0.01,42,6.309573444801929e-05,4677699,130,4677829,2.7790669560601722e-05,2.1914073057516248e-05,3.470749090928038e-05,45.56100989639625,44.59576781420526,46.592768948261146
43,SeqPrep,100000000,120,0,0.01,43,5.011872336272725e-05,6492218,121,6492339,1.8637350883864815e-05,1.4562547008156734e-05,2.346226286342734e-05,47.296158182846895,46.29630103827195,48.36762659717451
44,SeqPrep,100000000,120,0,0.01,44,3.9810717055349695e-05,6296396,82,6296478,1.3023153578873777e-05,9.617051280219613e-06,1.7206420295901026e-05,48.852838378825396,47.64309472928901,50.169580681946144
45,SeqPrep,100000000,120,0,0.01,45,3.1622776601683795e-05,7826281,77,7826358,9.838548147171392e-06,7.19054224707083e-06,1.3112339081744473e-05,50.07068984718333,48.823198285478036,51.43238357735199
46,SeqPrep,100000000,120,0,0.01,46,2.5118864315095822e-05,10675082,80,10675162,7.4940314723092725e-06,5.511830766802284e-06,9.934780959675038e-06,51.25284487353569,50.02841703697912,52.58704125311647
47,SeqPrep,100000000,120,0,0.01,47,1.9952623149688786e-05,23200694,165,23200859,7.111805644782376e-06,5.76668401963687e-06,8.666153043845881e-06,51.48020120506895,50.621736456142614,52.390738447201386
48,SeqPrep,100000000,120,0,0.01,48,1.584893192461114e-05,23276359,138,23276497,5.928727161995209e-06,4.709468064412192e-06,7.3569129247497145e-06,52.27038535279319,51.333043841674375,53.270281437706196
49,SeqPrep,100000000,120,0,0.01,49,1.2589254117941661e-05,29657006,147,29657153,4.956645703651999e-06,3.96696235571703e-06,6.110197627751113e-06,53.04812122944348,52.13944742743739,54.01541920721196
50,SeqPrep,100000000,120,0,0.01,50,1e-05,22495105,76,22495181,3.3785013776950716e-06,2.463769634530877e-06,4.510993828032994e-06,54.71275899641108,53.45727767106024,56.08399901673663
51,SeqPrep,100000000,120,0,0.01,51,7.943282347242822e-06,76011246,208,76011454,2.7364296965033717e-06,2.2724207758839654e-06,3.264163765059891e-06,55.6281570513626,54.8622806055614,56.43511248786385
52,SeqPrep,100000000,120,0,0.01,52,6.30957344480193e-06,173975276,350,173975626,2.0117760633894772e-06,1.7455881481387436e-06,2.3056933168286164e-06,56.964203635002455,56.371984592557915,57.5805821543551
53,SeqPrep,100000000,120,0,0.01,53,5.011872336272725e-06,260992831,474,260993305,1.8161385404119849e-06,1.6084678164940414e-06,2.0422574661393966e-06,57.40851025285465,56.89889507560066,57.935876243851865
54,SeqPrep,100000000,120,0,0.01,54,3.981071705534969e-06,320067274,426,320067700,1.3309684169942797e-06,1.1707354228285283e-06,1.5062544915789289e-06,58.758322499256586,58.221016450337295,59.31541241040689
55,SeqPrep,100000000,120,0,0.01,55,3.162277660168379e-06,7200881,9,7200890,1.249845505208384e-06,4.3500225743731136e-07,2.7772133580628022e-06,59.03143667297728,55.56390754506147,63.61508489275194
56,SeqPrep,100000000,120,0,0.01,56,2.5118864315095823e-06,23081007,20,23081027,8.665125689597781e-07,4.485619118366202e-07,1.5020123547149211e-06,60.622251333651995,58.23326495053256,63.481776058788746
57,SeqPrep,100000000,120,0,0.01,57,1.9952623149688787e-06,11977061,12,11977073,1.0019142406496144e-06,4.1271502737583177e-07,2.0159290077259584e-06,59.99169450531241,56.95524765924798,63.843497177288725
58,SeqPrep,100000000,120,0,0.01,58,1.584893192461114e-06,9183194,4,9183198,4.355781068860761e-07,7.319962269658475e-08,1.3714268050080136e-06,63.609339569638124,58.62827366352852,71.35491157482777
59,SeqPrep,100000000,120,0,0.01,59,1.2589254117941661e-06,20585895,10,20585905,4.85769267855846e-07,1.8055667738714476e-07,1.0394404120761536e-06,63.135699642587724,59.832004023866475,67.43386445765171
60,SeqPrep,100000000,120,0,0.01,60,1e-06,10721612823,215,10721613038,2.005295278219684e-08,1.6705512417836132e-08,2.3852048114392232e-08,76.9782166879965,76.22474323265844,77.77140198455926
0,SeqPrep,100000000,120,-10,0.01,0,1.0,10824738,11164706,21989444,0.5077302545712388,0.5074556127885077,0.5080048930102454,2.9436695713536096,2.941321046508925,2.9460193955086726
1,SeqPrep,100000000,120,-10,0.01,1,0.7943282347242815,4115867,3718760,7834627,0.47465693006189064,0.47419734596106655,0.4751165449411636,3.236201739801235,3.231998459193728,3.240408810573016
2,SeqPrep,100000000,120,-10,0.01,2,0.6309573444801932,2791530,1897830,4689360,0.4047098111469369,0.4041259578406903,0.4052938578153117,3.9285626712973842,3.9222997789445264,3.9348325303443428
3,SeqPrep,100000000,120,-10,0.01,3,0.5011872336272722,2065708,1080030,3145738,0.34333119922892497,0.34264169610245765,0.3440211762973294,4.642867295270598,4.634148235156282,4.651597888154476
4,SeqPrep,100000000,120,-10,0.01,4,0.3981071705534972,3015866,1204503,4220369,0.28540229539170625,0.2848361779571198,0.28596889669489434,5.445425383273878,5.436812001868513,5.454048503958104
5,SeqPrep,100000000,120,-10,0.01,5,0.31622776601683794,2399347,759860,3159207,0.24052238425655553,0.2399032284107412,0.24114232173495187,6.188444997195482,6.177265619868829,6.199639076322687
6,SeqPrep,100000000,120,-10,0.01,6,0.251188643150958,822411,208313,1030724,0.20210356991784414,0.2010856214793163,0.20312426964758745,6.944260151243419,6.922381832208922,6.966189822895873
7,SeqPrep,100000000,120,-10,0.01,7,0.19952623149688797,2013846,403038,2416884,0.16675934798691208,0.1661421801868369,0.16737782808034396,7.779098115922729,7.763020719108594,7.795200948404441
8,SeqPrep,100000000,120,-10,0.01,8,0.15848931924611134,1470584,224810,1695394,0.13260044567811377,0.13193027312345174,0.13327268104603773,8.774550162387854,8.752588654915854,8.796555384799985
9,SeqPrep,100000000,120,-10,0.01,9,0.12589254117941673,4887750,574565,5462315,0.10518708642764103,0.10484921480939569,0.10552564591318236,9.780375742265914,9.76641980887154,9.794348175135973
10,SeqPrep,100000000,120,-10,0.01,10,0.1,5322163,459735,5781898,0.07951281741739477,0.07922326969325921,0.0798030572736067,10.995628576962117,10.97980470408376,11.011472374122063
11,SeqPrep,100000000,120,-10,0.01,11,0.07943282347242814,7616403,493601,8110004,0.06086322522159052,0.06064717501145489,0.061079790752725516,12.156450375377158,12.141024594200093,12.17189424072108
12,SeqPrep,100000000,120,-10,0.01,12,0.06309573444801933,5029284,255451,5284735,0.0483375230735316,0.0480975155310428,0.04857834411189943,13.157156076118174,13.135572930574689,13.17877356454144
13,SeqPrep,100000000,120,-10,0.01,13,0.05011872336272722,6158711,289182,6447893,0.0448490693006227,0.044639375182371155,0.045059435292033045,13.482465649230722,13.462142553794035,13.502818928506631
14,SeqPrep,100000000,120,-10,0.01,14,0.039810717055349734,3144670,116803,3261473,0.03581295935916072,0.03554844354572628,0.036078830222689984,14.459597901232497,14.427475519523396,14.491794096824655
15,SeqPrep,100000000,120,-10,0.01,15,0.03162277660168379,4031347,118544,4149891,0.028565569553513574,0.028355356315324265,0.028776864367368926,15.441571123532256,15.409565301401697,15.473648909698756
16,SeqPrep,100000000,120,-10,0.01,16,0.025118864315095794,2004954,44674,2049628,0.021796150325815222,0.0215343019558909,0.022060221111320777,16.61620205473063,16.563901389064696,16.668692015246982
17,SeqPrep,100000000,120,-10,0.01,17,0.0199526231496888,4224326,74048,4298374,0.017226979318225914,0.017065739732347485,0.017389288451948315,17.637908676729538,17.59718188423668,17.678748820285428
18,SeqPrep,100000000,120,-10,0.01,18,0.015848931924611134,7294121,100297,7394418,0.013563880213425857,0.013454555581036476,0.013673831201693187,18.676160542579936,18.641097856050376,18.711306428939928
19,SeqPrep,100000000,120,-10,0.01,19,0.012589254117941675,13509095,141308,13650403,0.010351928803860223,0.010281496834941506,0.010422702263716999,19.849787235568435,19.82019668169634,19.87943653839478
20,SeqPrep,100000000,120,-10,0.01,20,0.01,17124920,143398,17268318,0.008304109294257843,0.008247965101488064,0.008360524558967741,20.80706943505646,20.77766473049236,20.83653185292826
21,SeqPrep,100000000,120,-10,0.01,21,0.007943282347242814,17737493,112192,17849685,0.006285377024860663,0.006237297093451,0.006333720300434442,22.016686662826363,21.983411191548235,22.0500356924477
22,SeqPrep,100000000,120,-10,0.01,22,0.00630957344480193,89453294,508952,89962246,0.005657395436747988,0.005637047321709554,0.005677795846577904,22.473834641806604,22.45820227220281,22.48948319362698
23,SeqPrep,100000000,120,-10,0.01,23,0.005011872336272725,85889709,376444,86266153,0.004363750867620119,0.0043454923589565375,0.004382064057600776,23.60140051829419,23.583212781538613,23.619610093962766
24,SeqPrep,100000000,120,-10,0.01,24,0.003981071705534973,65602385,220610,65822995,0.0033515642975528535,0.003333243142583431,0.003369957272312818,24.74752444536837,24.723756055133514,24.771330056821377
25,SeqPrep,100000000,120,-10,0.01,25,0.0031622776601683794,31780681,78499,31859180,0.0024639366110489973,0.0024413707113566385,0.0024866512195126367,26.08370469326505,26.043851250893233,26.123662698771422
26,SeqPrep,100000000,120,-10,0.01,26,0.0025118864315095794,6385358,9227,6394585,0.0014429396121874993,0.001404567021892289,0.0014820559886726814,28.407518439879496,28.291353893983263,28.524575326863122
27,SeqPrep,100000000,120,-10,0.01,27,0.001995262314968879,13979194,15860,13995054,0.001133257506544812,0.0011102255206594247,0.0011566293268358008,29.456713955516985,29.368058001687814,29.545887937991733
28,SeqPrep,100000000,120,-10,0.01,28,0.001584893192461114,16552551,14714,16567265,0.0008881369375089974,0.0008693988846603107,0.0009071622268556068,30.51520067307548,30.423150415747408,30.607809212951512
29,SeqPrep,100000000,120,-10,0.01,29,0.0012589254117941675,20564079,12516,20576595,0.0006082639037216799,0.0005943545367530501,0.0006224047122310727,32.159079551623044,32.05927127958911,32.25954417942643
30,SeqPrep,100000000,120,-10,0.01,30,0.001,15509613,7443,15517056,0.00047966573040659257,0.000465468808285463,0.0004941698562930252,33.19061308482114,33.06123749514412,33.3210941638699
31,SeqPrep,100000000,120,-10,0.01,31,0.0007943282347242813,43916836,20618,43937454,0.00046925795928002564,0.00046088470453253816,0.0004777395742446844,33.28588352394246,33.20808781818546,33.364077046490586
32,SeqPrep,100000000,120,-10,0.01,32,0.000630957344480193,110830505,37593,110868098,0.00033907860492023595,0.00033459161705540197,0.0003436085268638811,34.69699612339931,34.63936067413604,34.75484944163187
33,SeqPrep,100000000,120,-10,0.01,33,0.0005011872336272725,183166841,44370,183211211,0.00024217950286895926,0.0002392286213568351,0.00024515636769828486,36.15862616633106,36.105568218944,36.211868625024444
34,SeqPrep,100000000,120,-10,0.01,34,0.00039810717055349735,242998256,42743,243040999,0.00017586744695696383,0.00017368422564301156,0.00017807025815197441,37.54814540959331,37.49408611694052,37.60239623275896
35,SeqPrep,100000000,120,-10,0.01,35,0.00031622776601683794,6609420,765,6610185,0.00011573049770921692,0.00010523739575807323,0.00012694998065521101,39.36552179151211,38.96367360968563,39.77829907658668
36,SeqPrep,100000000,120,-10,0.01,36,0.00025118864315095795,20241376,1920,20243296,9.484621476660717e-05,8.936373398182873e-05,0.0001005650637102562,40.229799967603284,39.97552866924574,40.48838692915906
37,SeqPrep,100000000,120,-10,0.01,37,0.00019952623149688788,11287192,855,11288047,7.57438377072668e-05,6.923812646064675e-05,8.267472754164285e-05,41.20652694292229,40.82627227649289,41.59654692368153
38,SeqPrep,100000000,120,-10,0.01,38,0.00015848931924611142,8732024,468,8732492,5.3592949183348806e-05,4.742708176574961e-05,6.031017449725784e-05,42.70892343370407,42.196094149698276,43.23973597085897
39,SeqPrep,100000000,120,-10,0.01,39,0.00012589254117941674,19234216,886,19235102,4.6061622132287105e-05,4.217336643641545e-05,5.019936752015397e-05,43.366607717409515,42.993017546525394,43.74961730585677
40,SeqPrep,100000000,120,-10,0.01,40,0.0001,17960964,654,17961618,3.6410973666180856e-05,3.2848224895243305e-05,4.0241291773157606e-05,44.387677074380505,43.953280865766395,44.83488094567832
41,SeqPrep,100000000,120,-10,0.01,41,7.943282347242822e-05,53825202,1474,53826676,2.7384191436974485e-05,2.5581869635193932e-05,2.927549520093109e-05,45.625000778005386,45.334957500143396,45.92067718552598
42,SeqPrep,100000000,120,-10,0.01,42,6.309573444801929e-05,57827330,1271,57828601,2.1978743701581162e-05,2.0423261918312008e-05,2.3617094361383373e-05,46.57997135345826,46.26773535191645,46.89874893003862
43,SeqPrep,100000000,120,-10,0.01,43,5.011872336272725e-05,122943610,2163,122945773,1.759312213198253e-05,1.66340237175433e-05,1.8591131501155544e-05,47.54657082408866,47.30694177212836,47.790026836154766
44,SeqPrep,100000000,120,-10,0.01,44,3.9810717055349695e-05,66392421,912,66393333,1.3736318976485184e-05,1.2592997426175145e-05,1.4951916820438171e-05,48.62129632806449,48.253031276622096,48.99870885403636
45,SeqPrep,100000000,120,-10,0.01,45,3.1622776601683795e-05,130596684,1415,130598099,1.0834767204383273e-05,1.010723501737587e-05,1.1598980256932734e-05,49.651804154874846,49.35580190795001,49.95367635796909
46,SeqPrep,100000000,120,-10,0.01,46,2.5118864315095822e-05,120780618,1014,120781632,8.395316267957034e-06,7.731772873387222e-06,9.098572266830196e-06,50.759629384965905,50.41026751116695,51.117209121814334
47,SeqPrep,100000000,120,-10,0.01,47,1.9952623149688786e-05,193858192,1288,193859480,6.64398769665533e-06,6.1768242533011275e-06,7.13587060097165e-06,51.7757118044696,51.46553033883265,52.09234755292929
48,SeqPrep,100000000,120,-10,0.01,48,1.584893192461114e-05,70508968,363,70509331,5.148254774960211e-06,4.478883316894056e-06,5.886028482504635e-06,52.883399690284385,52.3017764067938,53.48830251573871
49,SeqPrep,100000000,120,-10,0.01,49,1.2589254117941661e-05,212437051,863,212437914,4.062363368904102e-06,3.715011567262394e-06,4.432309667512513e-06,53.91221232567867,53.533699048243534,54.30039829658344
50,SeqPrep,100000000,120,-10,0.01,50,1e-05,121671509,408,121671917,3.3532799520204815e-06,2.9411056080563824e-06,3.8050633333064354e-06,54.74530187536772,54.196381102267594,55.314893807385374
51,SeqPrep,100000000,120,-10,0.01,51,7.943282347242822e-06,445699021,1197,445700218,2.6856616884131745e-06,2.4899276030998507e-06,2.8921506729506774e-06,55.70948696101067,55.387790852618444,56.03813280226085
52,SeqPrep,100000000,120,-10,0.01,52,6.30957344480193e-06,746007176,1624,746008800,2.1769180202700023e-06,2.0402921060425072e-06,2.3199624604730573e-06,56.621579255821224,56.34519042411387,56.9030765073059
53,SeqPrep,100000000,120,-10,0.01,53,5.011872336272725e-06,320604802,566,320605368,1.7654102410412542e-06,1.5801299758644305e-06,1.965693325223228e-06,57.53154358424558,57.06484237039108,58.01307188058842
54,SeqPrep,100000000,120,-10,0.01,54,3.981071705534969e-06,503126645,662,503127307,1.315770364258921e-06,1.187780065303734e-06,1.4533129066851558e-06,58.80819899656239,58.376408695173126,59.252639678291914
55,SeqPrep,100000000,120,-10,0.01,55,3.162277660168379e-06,713100821,775,713101596,1.086801662409966e-06,9.88878674501592e-07,1.1914590712924777e-06,59.63849705941556,59.23920871837985,60.048569887129005
56,SeqPrep,100000000,120,-10,0.01,56,2.5118864315095823e-06,6625228240,5622,6625233862,8.485738189931385e-07,8.197058589676232e-07,8.781623109799241e-07,60.71310371629281,60.564252059069744,60.86341960718901
0,SeqPrep,100000000,120,-20,0.01,0,1.0,3485412,5182106,8667518,0.5978765778161638,0.5974474686055502,0.5983055795803573,2.2338846000089236,2.23076947066592,2.237002746437364
1,SeqPrep,100000000,120,-20,0.01,1,0.7943282347242815,618708,535788,1154496,0.464088225511392,0.46289239230770995,0.465284354781641,3.3339945002591342,3.3228155040297844,3.345199568407194
2,SeqPrep,100000000,120,-20,0.01,2,0.6309573444801932,581199,377596,958795,0.3938234972022174,0.3925382050986801,0.39510984338575517,4.046983755497827,4.0328215058971155,4.061180676930923
3,SeqPrep,100000000,120,-20,0.01,3,0.5011872336272722,575633,339659,915292,0.3710935963605057,0.3697930384374759,0.3723954948686281,4.305165398287743,4.2899558162605995,4.320412689384677
4,SeqPrep,100000000,120,-20,0.01,4,0.3981071705534972,1181711,502903,1684614,0.29852714034194183,0.29761924971821896,0.2994361692209553,5.250161792249704,5.236957419210273,5.263389824808797
5,SeqPrep,100000000,120,-20,0.01,5,0.31622776601683794,1100760,406328,1507088,0.26961132992897563,0.26868063198046177,0.2705434828806089,5.692618613123672,5.677629233210476,5.707636388410223
6,SeqPrep,100000000,120,-20,0.01,6,0.251188643150958,624811,175128,799939,0.21892669316035349,0.21773681923643695,0.2201199121567512,6.597012828108531,6.573406691747365,6.620681256711204
7,SeqPrep,100000000,120,-20,0.01,7,0.19952623149688797,1324041,290151,1614192,0.1797499925659401,0.1789721483681075,0.1805297251925625,7.4533111890653325,7.434512789426073,7.472145486355739
8,SeqPrep,100000000,120,-20,0.01,8,0.15848931924611134,738248,134180,872428,0.1538006574754593,0.15280710140009668,0.1547979916251243,8.130418079848242,8.102346782253761,8.158564623361729
9,SeqPrep,100000000,120,-20,0.01,9,0.12589254117941673,2056023,274168,2330191,0.11765902451773266,0.11711589994484406,0.11820371088651349,9.293747565632422,9.273688890026657,9.313841400296894
10,SeqPrep,100000000,120,-20,0.01,10,0.1,1420548,138837,1559385,0.08903317654075164,0.08844666484520369,0.08962219728738896,10.50448131515358,10.475844125978242,10.53318538860905
11,SeqPrep,100000000,120,-20,0.01,11,0.07943282347242814,2310405,187004,2497409,0.07487920480786286,0.07445081986748248,0.07530921018173242,11.256387763077576,11.231519071126922,11.281305153468217
12,SeqPrep,100000000,120,-20,0.01,12,0.06309573444801933,1354234,83629,1437863,0.05816200848064106,0.05766035700633154,0.05866658605843378,12.35360604607781,12.316091836282649,12.391226729883972
13,SeqPrep,100000000,120,-20,0.01,13,0.05011872336272722,4125057,212917,4337974,0.04908212912295002,0.04881532669004229,0.04934992101488245,13.090766063710165,13.067135380871136,13.114437998855397
14,SeqPrep,100000000,120,-20,0.01,14,0.039810717055349734,4274227,190396,4464623,0.04264548204854027,0.042399538645449764,0.04289240059719612,13.70126972124135,13.676196465345363,13.726388689927733
15,SeqPrep,100000000,120,-20,0.01,15,0.03162277660168379,2472049,78733,2550782,0.030866220633515525,0.030587957672414512,0.03114623495070079,15.105165437764716,15.065944446375903,15.144495194589652
16,SeqPrep,100000000,120,-20,0.01,16,0.025118864315095794,2269103,60855,2329958,0.02611849655659029,0.025850114703810823,0.026388815410375743,15.830518257112304,15.785801047509239,15.87537525486032
17,SeqPrep,100000000,120,-20,0.01,17,0.0199526231496888,3618035,74809,3692844,0.02025782838376059,0.02006947326337305,0.020447420609647438,16.934071123567122,16.89361469351014,16.97464025709447
18,SeqPrep,100000000,120,-20,0.01,18,0.015848931924611134,48231715,900944,49132659,0.01833696808471123,0.018287701134720558,0.018386328322849144,17.366724708978218,17.355049889963936,17.3784088431331
19,SeqPrep,100000000,120,-20,0.01,19,0.012589254117941675,813753,8024,821777,0.009764206104575816,0.009487035425400414,0.0100470690981308,20.103630619939654,19.97960610895271,20.228694777236083
20,SeqPrep,100000000,120,-20,0.01,20,0.01,1089834,5766,1095600,0.005262869660460022,0.005086505908701411,0.005443544546303025,22.787773855297345,22.641182187556232,22.935804466710145
21,SeqPrep,100000000,120,-20,0.01,21,0.007943282347242814,2934788,13702,2948490,0.004647124460316975,0.004545731188661861,0.004750119664410968,23.328156959943293,23.232954495459225,23.42396249810467
22,SeqPrep,100000000,120,-20,0.01,22,0.00630957344480193,3620478,11716,3632194,0.0032255986326721535,0.0031494750569741603,0.0033030265757789667,24.9138967366752,24.81087932010152,25.01761826800179
23,SeqPrep,100000000,120,-20,0.01,23,0.005011872336272725,8061945,19569,8081514,0.002421452217987867,0.002377150219661339,0.0024663410757674864,26.1592409637542,26.079468640416536,26.239433729589877
